audio,sentence
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200916-133712_bem_798_elicit_25.wav,ifyakulya ubushiku bafimwena kumalushi
/scratch/skscla001/experiments/datasets/bemgen/audio/17-200915-120130_bem_346_elicit_22.wav,shalenipo kalasi
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201004-091537_bem_798_elicit_30.wav,yatile nkondo ishipwafye cabwela caisha no mwana
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201001-105646_bem_798_elicit_12.wav,awe cilia batila ukulumbula cimbwi ekumwita twaumfwafye pulata uupita nga mumwakwe ati oti ufuma cilutungu
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200916-141341_bem_798_elicit_0.wav,ifi shikumana fiwa
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201002-063230_bem_798_elicit_12.wav,naani babepeshe ukwipaya kolala joni melodi
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201006-003654_bem_798_elicit_22.wav,umushobo wa aaba bantu afikileko ni ba maindeo
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201001-100406_bem_798_elicit_39.wav,bonse pamushi pacaani taba ishibe insala emukutila lyonse baleeba abaikuta mulusuba namainsa kumo
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200925-003120_bem_798_elicit_45.wav,lelo kuti twabateyanya lesa alefwaya ukuti tubomfye ifyabupe fyesu ifyabumupashi kukwafwilisha abantu ukuti babe abakalamba
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200916-120506_bem_798_elicit_34.wav,ukulingana nokupenda kwa kwa lesa ubu ebushiku bwakutendekelapo umulungu
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200920-120041_bem_798_elicit_15.wav,umuntu kuti ayambula ubu bulwele ukupitila
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201006-013752_bem_798_elicit_24.wav,atampa no kumushimikila ifyo bamwebele ku ofeshi
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201007-022920_bem_798_elicit_28.wav,elyo nokulomba ukuti apo icaalo cakwe cilecula ku bubi bwa bantu nasha pa bafumu
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200921-143443_bem_798_elicit_21.wav,ngacakuti iwe nangu umuntu umbi untu waishiba ali mu cuupo
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201004-122608_bem_798_elicit_25.wav,tapali nangu umo nomba uwakuba no mwenso nangu amone icili shani
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200920-120041_bem_798_elicit_10.wav,umutwe ubukali
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200921-214144_bem_798_elicit_20.wav,ba mpandamano bakomfwa kuli fintu mulelanda ukwasuka amepusho yenu elyo nokumituma kumbi uko mwingasanga ubwafwilisho mu ncende yenu
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200924-204525_bem_798_elicit_32.wav,kabili limbi ishiwi ni metoche ililondola ngo kwaka na ifintu nangu ukuibimbamo mu fintu ifilecitika
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201007-002328_bem_798_elicit_23.wav,alabalondolwela nelyo amwene nokuti ba mangala bali panuma kanofye ukwendesha
